ID_Bus,Ruta,Velocidad_kmh,Latitud,Longitud,Timestamp
BUS_1040,104,33,-33.358699495361186,-70.64869509103812,2026-05-03 02:43:00
BUS_1009,502C,37,-33.49068022934127,-70.73448820303113,2026-05-11 08:58:00
BUS_1006,210e,58,-33.35280888138416,-70.63661069889834,2026-05-28 19:29:00
BUS_1031,502C,56,-33.45892541561996,-70.57660987765095,2026-05-27 05:58:00
BUS_1015,502,44,-33.53388446846847,-70.72983386839738,2026-05-18 16:23:00
BUS_1029,502c,30,-33.383039565994004,-70.71542009107877,2026-05-13 07:08:00
BUS_1007,502C,20,-33.53855876657451,-70.70109439975379,2026-05-29 07:42:00
BUS_1050,502C,42,-33.394827565831235,-70.67950812159127,2026-05-08 20:59:00
BUS_1034,210e,34,-33.52112375685504,-70.63925997469846,2026-05-01 08:50:00
BUS_1039,502,29,-33.477638583988636,-70.57305197423194,2026-05-20 09:06:00
BUS_1033,104,29,-33.3682153696609,-70.66366966345956,2026-05-11 14:06:00
BUS_1015,210e,38,-33.52196354058105,-70.72330239284256,2026-05-22 07:19:00
BUS_1050,502c,31,-33.531802461011075,-70.66206489268656,2026-05-16 20:01:00
BUS_1011,210e,55,-33.459475206970616,-70.74198210725747,2026-05-20 08:25:00
BUS_1014,502C,60,-33.44275648509257,-70.75084405602375,2026-05-01 22:17:00
BUS_1000,104,49,-33.41316766863191,-70.60855878574529,2026-05-07 15:20:00
BUS_1013,210,30,-33.41112067857539,-70.56249720526054,2026-05-22 12:41:00
BUS_1018,210e,-14,-33.37284192287638,-70.69688083599006,2026-05-15 08:42:00
BUS_1036,210,17,-33.36722392070112,-70.64019979076944,2026-05-08 18:02:00
BUS_1019,210,41,-33.38740909612846,-70.57855680726703,2026-05-01 12:30:00
BUS_1032,210,33,-33.47593494196457,-70.72936465267452,2026-06-01 02:07:00
BUS_1007,502c,11,-33.35110779440233,-70.71027108549444,2026-05-26 02:19:00
BUS_1013,502C,32,-33.370471964903025,-70.58824796852426,2026-05-21 10:28:00
BUS_1042,104,57,-33.40337467593474,-70.75716264434082,2026-05-22 02:59:00
BUS_1049,210e,39,-33.402492453285426,-70.57558900474596,2026-05-25 13:10:00
BUS_1022,104,31,-33.35106120103339,-70.65635969145168,2026-05-11 02:46:00
BUS_1016,210e,-8,-33.3790797390756,-70.64880924769032,2026-05-26 06:53:00
BUS_1036,502C,58,-33.363941956122645,-70.71407129421334,2026-05-29 08:47:00
BUS_1002,210,44,-33.51482247835689,-70.60290159638365,2026-05-23 07:49:00
BUS_1002,502c,53,-33.406872255925116,-70.64010295972334,2026-05-29 05:54:00
BUS_1022,210,35,-33.44959857706136,-70.71284438522731,2026-05-04 23:09:00
BUS_1016,104,18,-33.51541024393976,-70.57148314421582,2026-05-22 13:31:00
BUS_1011,502C,33,-33.36648326093288,-70.6796082531739,2026-05-08 08:19:00
BUS_1030,210e,48,-33.475275031602614,-70.61961185462887,2026-05-22 16:17:00
BUS_1024,210,21,-33.493813878731224,-70.56330121353281,2026-05-05 10:49:00
BUS_1048,502C,10,-33.475988343630185,-70.59688392895616,2026-05-16 05:50:00
BUS_1020,104,50,-33.497727893323244,-70.60946119977868,2026-05-21 20:30:00
BUS_1028,210e,34,-33.469428975609254,-70.59131512315518,2026-05-10 23:21:00
BUS_1041,210e,57,-33.52345303697812,-70.74933293911917,2026-05-14 07:34:00
BUS_1038,104,38,-33.507721899578826,-70.59520611314896,2026-05-23 07:10:00
BUS_1027,210,46,-33.497804850347464,-70.69935971615377,2026-05-24 15:29:00
BUS_1006,502,22,-33.525850838526765,-70.58956112564668,2026-05-11 01:29:00
BUS_1020,104,40,-33.54099341428052,-70.69631591163363,2026-05-27 03:09:00
BUS_1016,502,35,-33.40985487873569,-70.61292942624353,2026-05-15 17:25:00
BUS_1015,210,46,-33.36061011094041,-70.74286930958642,2026-05-23 08:50:00
BUS_1006,502,42,-33.45824574004625,-70.71746397365747,2026-05-02 05:48:00
BUS_1028,210e,31,-33.52549446814851,-70.57154386779517,2026-05-03 13:19:00
BUS_1007,210,34,-33.47046661569764,-70.64276791427412,2026-05-04 21:46:00
BUS_1012,210e,26,-33.410488367915754,-70.70709097133216,2026-05-23 13:06:00
BUS_1028,502c,37,-33.53165728606818,-70.57789900925451,2026-05-21 18:46:00
BUS_1007,210e,36,-33.515521746594565,-70.62786222488735,2026-05-02 17:29:00
BUS_1013,502C,42,-33.47629952059558,-70.68388712123846,2026-05-20 18:16:00
BUS_1036,502c,44,-33.47746876993857,-70.71391529099093,2026-05-25 09:52:00
BUS_1028,502c,38,-33.37120239135645,-70.5659406586114,2026-05-31 19:45:00
BUS_1049,210e,40,-33.43736934645631,-70.63143628699986,2026-05-16 09:07:00
BUS_1014,502c,45,-33.3984757401515,-70.61549792973041,2026-05-22 05:59:00
BUS_1003,502c,47,-33.39194067712278,-70.62210125381212,2026-05-06 08:31:00
BUS_1011,210e,10,-33.502245851351084,-70.69830115283251,2026-05-27 15:08:00
BUS_1049,502,11,-33.44981738253756,-70.58103236309162,2026-05-19 04:09:00
BUS_1048,210e,51,-33.48273117890513,-70.64592709679027,2026-05-13 15:14:00
BUS_1032,104,53,-33.45165482399519,-70.61797152543083,2026-05-21 10:49:00
BUS_1038,104,24,-33.48516421304082,-70.74432150561118,2026-05-31 12:59:00
BUS_1013,502c,41,-33.48572056717828,-70.57977333182757,2026-05-25 23:44:00
BUS_1016,502C,52,-33.42472617700368,-70.5897086590825,2026-05-18 13:03:00
BUS_1033,104,34,-33.4277383157722,-70.64259905708695,2026-05-17 02:02:00
BUS_1037,502,32,-33.473294667612635,-70.56567989311249,2026-05-02 22:28:00
BUS_1042,210e,21,-33.438315303997406,-70.64837167856814,2026-05-06 01:15:00
BUS_1012,104,15,-33.434108917301984,-70.60795218965653,2026-05-12 08:23:00
BUS_1038,104,21,-33.48576815708331,-70.62025485478415,2026-05-18 10:29:00
BUS_1023,210,42,-33.53471124631966,-70.6875406008164,2026-05-23 06:50:00
BUS_1002,502c,48,-33.405495456568595,-70.72605195379529,2026-05-05 19:22:00
BUS_1031,210e,24,-33.529652749066855,-70.56883018630472,2026-05-17 12:17:00
BUS_1013,104,26,-33.48984679245375,-70.58574649456828,2026-05-20 20:22:00
